original,phonetic,syllables,syl_number,word_len
дүрт,дүрт,CVSC,1,4
мизгел,мизгел,SVC-CVS,2,6
кем,кем,CVS,1,3
мин,мин,SVS,1,3
кайдан,каjдан,CVS-CVS,2,6
нинди,нинди,SVS-CV,2,5
шытым,шытым,CV-CVS,2,5
кайсы,каjсы,CVS-CV,2,5
токым,токым,CV-CVS,2,5
вакытлымы,вакытлымы,CV-CVC-SV-SV,4,9
вакытсызмы,вакытсызмы,CV-CVC-CVC-SV,4,10
уй,уj,VS,1,2
фикергә,фикергә,CV-CVS-CV,3,7
юктыр,jуктыр,SVC-CVS,2,6
табу,табу,CV-CV,2,4
кеше,кеше,CV-CV,2,4
булсаң,булсаң,CVS-CVS,2,6
бер,бер,CVS,1,3
туа,туа,CV-V,2,3
да,да,CV,1,2
тынгы,тынгы,CVS-CV,2,5
бирми,бирми,CVS-SV,2,5
гомерең,гомерең,CV-SV-SVS,3,7
буе,буjы,CV-SV,2,4
юк,jук,SVC,1,3
фикер,фикер,CV-CVS,2,5
дә,дә,CV,1,2
уй,уj,VS,1,2
да,да,CV,1,2
түгел,түгел,CV-CVS,2,5
бу,бу,CV,1,2
уйлану,уjлану,VS-SV-SV,3,6
әгәр,әгәр,V-CVS,2,4
мин,мин,SVS,1,3
авылда,аwылда,V-SVS-CV,3,6
тумасам,тумасам,CV-SV-CVS,3,7
бервакыт,бервакыт,CVS-CV-CVC,3,8
белмәсә,белмәсә,CVS-SV-CV,3,7
яшьлегем,jәшлегем,SVC-SV-CVS,3,8
авылым,аwылым,V-SV-SVS,3,6
куенын,куjынын,CV-SV-SVS,3,7
чәй,чәj,CVS,1,3
суын,суын,CV-VS,2,4
эчмәсәм,эчмәсәм,VC-SV-CVS,3,7
үсмәсәм,үсмәсәм,VC-SV-CVS,3,7
эш,эш,VC,1,2
татып,татып,CV-CVC,2,5
моң,моң,SVS,1,3
җырын,җырын,CV-SVS,2,5
отмасам,отмасам,VC-SV-CVS,3,7
чишмә,чишмә,CVC-SV,2,5
су,су,CV,1,2
буеның,буjының,CV-SV-SVS,3,7
әгәр,әгәр,V-CVS,2,4
мин,мин,SVS,1,3
әтием,әтиjем,V-CV-SVS,3,6
әнием,әниjем,V-SV-SVS,3,6
янына,jанына,SV-SV-SV,3,6
кайчандыр,каjчандыр,CVS-CVS-CVS,3,9
бишектә,бишектә,CV-CVC-CV,3,7
тирбәгән,тирбәгән,CVS-CV-CVS,3,8
туганнар,туганнар,CV-CVS-SVS,3,8
алдына,алдына,VS-CV-SV,3,6
сагыш,сагыш,CV-CVC,2,5
сеңгән,сеңгән,CVS-CVS,2,6
әби,әби,V-CV,2,3
бабам,бабам,CV-CVS,2,5
нигезенә,нигезенә,SV-CV-CV-SV,4,8
әти,әти,V-CV,2,3
салган,салган,CVS-CVS,2,6
туган,туган,CV-CVS,2,5
йортка,jортка,SVSC-CV,2,6
тормасам,тормасам,CVS-SV-CVS,3,8
кайткалап,каjткалап,CVSC-CV-SVC,3,9
мең,мең,SVS,1,3
эшләр,эшләр,VC-SVS,2,5
майтарып,маjтарып,SVS-CV-SVC,3,8
ватылып,ватылып,CV-CV-SVC,3,7
ваткалап,ваткалап,CVC-CV-SVC,3,8
читләшсәм,читләшсәм,CVC-SVC-CVS,3,9
үземне,үземне,V-CVS-SV,3,6
очырган,очырган,V-CVS-CVS,3,7
оядан,оjадан,V-SV-CVS,3,6
ни,ни,SV,1,2
холыклы,холыклы,CV-SVC-SV,3,7
нинди,нинди,SVS-CV,2,5
адәм,адәм,V-CVS,2,4
булыр,булыр,CV-SVS,2,5
идем,идем,V-CVS,2,4
бу,бу,CV,1,2
дөньяда,дөнjада,CVS-SV-CV,3,7
бәлки,бәлки,CVS-CV,2,5
шулай,шулаj,CV-SVS,2,5
таш,таш,CVC,1,3
калада,калада,CV-SV-CV,3,6
өч,өч,VC,1,2
дүрт,дүрт,CVSC,1,4
катлы,катлы,CVC-SV,2,5
белем,белем,CV-SVS,2,5
белән,белән,CV-SVS,2,5
шул,шул,CVS,1,3
юлдан,jулдан,SVS-CVS,2,6
ук,ук,VC,1,2
шул,шул,CVS,1,3
ук,ук,VC,1,2
якка,jакка,SVC-CV,2,5
барыр,барыр,CV-SVS,2,5
идем,идем,V-CVS,2,4
роботларны,роботларны,SV-CVC-SVS-SV,4,10
җанлы,җанлы,CVS-SV,2,5
итәм,итәм,V-CVS,2,4
сөйләшергә,сөjләшергә,CVS-SV-CVS-CV,4,10
өйрәтәм,өjрәтәм,VS-SV-CVS,3,7
дип,дип,CVC,1,3
яңа,jаңа,SV-SV,2,4
гына,гына,CV-SV,2,4
туып,туып,CV-VC,2,4
килгән,килгән,CVS-CVS,2,6
фән,фән,CVS,1,3
утында,утында,V-CVS-CV,3,6
шул,шул,CVS,1,3
ук,ук,VC,1,2
зәңгәр,зәңгәр,CVS-CVS,2,6
ялкын,jалкын,SVS-CVS,2,6
булып,булып,CV-SVC,2,5
яныр,jаныр,SV-SVS,2,5
идем,идем,V-CVS,2,4
әмма,әмма,VS-SV,2,4
ләкин,ләкин,SV-CVS,2,5
белмәс,белмәс,CVS-SVC,2,6
идем,идем,V-CVS,2,4
сандугачтан,сандугачтан,CVS-CV-CVC-CVS,4,11
иртә,иртә,VS-CV,2,4
торып,торып,CV-SVC,2,5
ромашкага,ромашкага,SV-SVC-CV-CV,4,9
мәтрүшкәгә,мәтрүшкәгә,SVC-SVC-CV-CV,4,10
шыгрым,шыгрым,CVC-SVS,2,6
тулы,тулы,CV-SV,2,4
тел,тел,CVS,1,3
тоярлык,тоjарлык,CV-SVS-SVC,3,8
куе,куjы,CV-SV,2,4
исле,исле,VC-SV,2,4
иркен,иркен,VS-CVS,2,5
болын,болын,CV-SVS,2,5
уртасында,уртасында,VS-CV-CVS-CV,4,9
күкрәк,күкрәк,CVC-SVC,2,6
киереп,киjереп,CV-SV-SVC,3,7
аяклырны,аjаклырны,V-SVC-SVS-SV,4,9
җиргә,җиргә,CVS-CV,2,5
терәп,терәп,CV-SVC,2,5
чалгы,чалгы,CVS-CV,2,5
йөзен,jөзен,SV-CVS,2,5
чыкка,чыкка,CVC-CV,2,5
манып,манып,SV-SVC,2,5
җәен,җәен,CV-VS,2,4
печән,печән,CV-CVS,2,5
чабуларның,чабуларның,CV-CV-SVS-SVS,4,10
хозур,хозур,CV-CVS,2,5
ямен,jәмен,SV-SVS,2,5
балачагым,балачагым,CV-SV-CV-CVS,4,9
җәен,җәен,CV-VS,2,4
белмәс,белмәс,CVS-SVC,2,6
идем,идем,V-CVS,2,4
бездәй,бездәj,CVC-CVS,2,6
очлы,очлы,VC-SV,2,4
камылларны,камылларны,CV-SVS-SVS-SV,4,10
изә,изә,V-CV,2,3
изә,изә,V-CV,2,3
ялантәпи,jәлантәпи,SV-SVS-CV-CV,4,9
уңнан,уңнан,VS-SVS,2,5
сулдан,сулдан,CVS-CVS,2,6
чигәләгән,чигәләгән,CV-CV-SV-CVS,4,9
көзге,көзге,CVC-CV,2,5
яңгыр,jаңгыр,SVS-CVS,2,6
тамчыларын,тамчыларын,CVS-CV-SV-SVS,4,10
яшь,jәш,SVC,1,3
аралаш,аралаш,V-SV-SVC,3,6
сулкыл,сулкыл,CVS-CVS,2,6
сулкыл,сулкыл,CVS-CVS,2,6
йота,jота,SV-CV,2,4
йота,jота,SV-CV,2,4
җиде,җиде,CV-CV,2,4
яшьлек,jәшлек,SVC-SVC,2,6
абыйларны,абыjларны,V-CVS-SVS-SV,4,9
җуя,җуjа,CV-SV,2,4
тота,тота,CV-CV,2,4
бушап,бушап,CV-CVC,2,5
калган,калган,CVS-CVS,2,6
кырлар,кырлар,CVS-SVS,2,6
аша,аша,V-CV,2,3
ул,ул,VS,1,2
чакларда,чакларда,CVC-SVS-CV,3,8
дөнья,дөнjа,CVS-SV,2,5
чиге,чиге,CV-CV,2,4
тойса,тоjса,CVS-CV,2,5
чишмә,чишмә,CVC-SV,2,5
юлындагы,jулындагы,SV-SVS-CV-CV,4,9
алмагачлы,алмагачлы,VS-SV-CVC-SV,4,9
куаклыкка,куаклыкка,CV-VC-SVC-CV,4,9
кыргый,кыргыj,CVS-CVS,2,6
алма,алма,VS-SV,2,4
кимерергә,кимерергә,CV-SV-SVS-CV,4,9
йөгерүнең,jөгерүнең,SV-CV-SV-SVS,4,9
әчкелт,әчкелт,VC-CVSC,2,6
тәмен,тәмен,CV-SVS,2,5
балачагым,балачагым,CV-SV-CV-CVS,4,9
көзен,көзен,CV-CVS,2,5
белмәс,белмәс,CVS-SVC,2,6
идем,идем,V-CVS,2,4
кар,кар,CVS,1,3
бураны,бураны,CV-SV-SV,3,6
зур,зур,CVS,1,3
йортларны,jортларны,SVSC-SVS-SV,3,9
күмеп,күмеп,CV-SVC,2,5
китеп,китеп,CV-CVC,2,5
урамнарга,урамнарга,V-SVS-SVS-CV,4,9
тутырганда,тутырганда,CV-CVS-CVS-CV,4,10
таулар,таwлар,CVS-SVS,2,6
өеп,өjеп,V-SVC,2,4
төн,төн,CVS,1,3
җиткәнче,җиткәнче,CVC-CVS-CV,3,8
чыр,чыр,CVS,1,3
чу,чу,CV,1,2
килеп,килеп,CV-SVC,2,5
баштанаяк,баштанаjак,CVC-CV-SV-SVC,4,10
ап,ап,VC,1,2
ак,ак,VC,1,2
булып,булып,CV-SVC,2,5
уйнаганда,уjнаганда,VS-SV-CVS-CV,4,9
көрткә,көрткә,CVSC-CV,2,6
чумып,чумып,CV-SVC,2,5
баригага,баригага,CV-SV-CV-CV,4,8
карлар,карлар,CVS-SVS,2,6
тулып,тулып,CV-SVC,2,5
куллар,куллар,CVS-SVS,2,6
туңып,туңып,CV-SVC,2,5
бөрешкәндә,бөрешкәндә,CV-SVC-CVS-CV,4,10
йөгереп,jөгереп,SV-CV-SVC,3,7
кайтып,каjтып,CVS-CVC,2,6
чатнаттырып,чатнаттырып,CVC-SVC-CV-SVC,4,11
җылытылган,җылытылган,CV-SV-CVS-CVS,4,10
нарат,нарат,SV-SVC,2,5
өйдә,өjдә,VS-CV,2,4
таш,таш,CVC,1,3
морҗага,морҗага,SVS-CV-CV,3,7
килеп,килеп,CV-SVC,2,5
кергән,кергән,CVS-CVS,2,6
зәһәр,зәһәр,CV-CVS,2,5
җилнең,җилнең,CVS-SVS,2,6
сызгыруын,сызгыруын,CVC-CV-SV-VS,4,9
тыңлап,тыңлап,CVS-SVC,2,6
яту,jату,SV-CV,2,4
рәхәтлеген,рәхәтлеген,SV-CVC-SV-CVS,4,10
балачагым,балачагым,CV-SV-CV-CVS,4,9
кышын,кышын,CV-CVS,2,5
белмәс,белмәс,CVS-SVC,2,6
идем,идем,V-CVS,2,4
аю,аjу,V-SV,2,3
аю,аjу,V-SV,2,3
тау,таw,CVS,1,3
сыртлары,сыртлары,CVSC-SV-SV,3,8
үксеп,үксеп,VC-CVC,2,5
җепшеп,җепшеп,CVC-CVC,2,6
сарылып,сарылып,CV-SV-SVC,3,7
яткан,jаткан,SVC-CVS,2,6
карларыннан,карларыннан,CVS-SV-SVS-SVS,4,11
арынганда,арынганда,V-SVS-CVS-CV,4,9
олы,олы,V-SV,2,3
елга,jылга,SVS-CV,2,5
дәррәү,дәррәw,CVS-SVS,2,6
ташып,ташып,CV-CVC,2,5
и,и,V,1,1
тамаша,тамаша,CV-SV-CV,3,6
айкый,аjкыj,VS-CVS,2,5
чайкый,чаjкыj,CVS-CVS,2,6
төртә,төртә,CVS-CV,2,5
тарта,тарта,CVS-CV,2,5
боз,боз,CVC,1,3
юрганын,jурганын,SVS-CV-SVS,3,8
агызганда,агызганда,V-CVC-CVS-CV,4,9
су,су,CV,1,2
буенда,буjында,CV-SVS-CV,3,7
тау,таw,CVS,1,3
сыртында,сыртында,CVS-CVS-CV,3,8
учак,учак,V-CVC,2,4
ягып,jагып,SV-CVC,2,5
күмерләнгән,күмерләнгән,CV-SVS-SVS-CVS,4,11
ут,ут,VC,1,2
кабыклы,кабыклы,CV-CVC-SV,3,7
бәрәңгене,бәрәңгене,CV-SVS-CV-SV,4,9
учка,учка,VC-CV,2,4
алып,алып,V-SVC,2,4
өрә,өрә,V-SV,2,3
өрә,өрә,V-SV,2,3
суыта,суыта,CV-V-CV,3,5
суыта,суыта,CV-V-CV,3,5
учтан,учтан,VC-CVS,2,5
учка,учка,VC-CV,2,4
тәгәрәтеп,тәгәрәтеп,CV-CV-SV-CVC,4,9
иреннәрем,иреннәрем,V-SVS-SV-SVS,4,9
бит,бит,CVC,1,3
кулларым,кулларым,CVS-SV-SVS,3,8
корымланып,корымланып,CV-SVS-SV-SVC,4,10
борынымны,борынымны,CV-SV-SVS-SV,4,9
кытыклаган,кытыклаган,CV-CVC-SV-CVS,4,10
буын,буын,CV-VS,2,4
