original,phonetic,syllables
юксыну,jуксыну,SVC-CV-SV
күз,күз,CVC
карашым,карашым,CV-SV-CVS
нинди,нинди,SVS-CV
уйчанланды,уjчанланды,VS-CVS-SVS-CV
син,син,CVS
беләсең,беләсең,CV-SV-CVS
микән,микән,SV-CVS
юк,jук,SVC
микән,микән,SV-CVS
син,син,CVS
киләсе,киләсе,CV-SV-CV
юлдан,jулдан,SVS-CVS
күзем,күзем,CV-CVS
алмый,алмыj,VS-SVS
сине,сине,CV-SV
көтәм,көтәм,CV-CVS
иркәм,иркәм,VS-CVS
кич,кич,CVC
иртән,иртән,VS-CVS
яратам,jаратам,SV-SV-CVS
мин,мин,SVS
әйтмим,әjтмим,VSC-SVS
генә,генә,CV-SV
аны,аны,V-SV
син,син,CVS
йөрәкне,jөрәкне,SV-SVC-SV
минем,минем,SV-SVS
белмисең,белмисең,CVS-SV-CVS
кошлар,кошлар,CVC-SVS
кайта,каjта,CVS-CV
безгә,безгә,CVC-CV
син,син,CVS
һаман,һаман,CV-SVS
юк,jук,SVC
син,син,CVS
һаман,һаман,CV-SVS
юк,jук,SVC
никтер,никтер,SVC-CVS
килмисең,килмисең,CVS-SV-CVS
сагынуымны,сагынуымны,CV-CV-SV-VS-SV
төннәр,төннәр,CVS-SVS
утырып,утырып,V-CV-SVC
язган,jазган,SVC-CVS
хатлар,хатлар,CVC-SVS
гына,гына,CV-SV
басар,басар,CV-CVS
дисеңме,дисеңме,CV-CVS-SV
юк,jук,SVC
басалмый,басалмыj,CV-CVS-SVS
сөйгән,сөjгән,CVS-CVS
җырларыма,җырларыма,CVS-SV-SV-SV
сыйдыралмыйм,сыjдыралмыjм,CVS-CV-SVS-SVSS
хәзер,хәзер,CV-CVS
хисемне,хисемне,CV-CVS-SV
син,син,CVS
укыган,укыган,V-CVCVS
мәктәп,мәктәп,SVC-CVC
буйларыннан,буjларыннан,CVS-SV-SVS-SVS
моңсу,моңсу,SVS-CV
гына,гына,CV-SV
карап,карап,CV-SVC
үтәм,үтәм,V-CVS
мин,мин,SVS
иптәшләрең,иптәшләрең,VC-CVC-SV-SVS
белән,белән,CV-SVS
шау,шаw,CVS
гөр,гөр,CVS
килеп,килеп,CV-SVC
күренерсең,күренерсең,CV-SV-SVS-CVS
дип,дип,CVC
өмет,өмет,V-SVC
итәм,итәм,V-CVS
мин,мин,SVS
көзге,көзге,CVC-CV
яңгыр,jаңгыр,SVS-CVS
ява,jаwа,SV-SV
таш,таш,CVC
урамда,урамда,V-SVS-CV
басып,басып,CV-CVC
торам,торам,CV-SVS
чатта,чатта,CVC-CV
шыкланып,шыкланып,CVC-SV-SVC
берәр,берәр,CV-SVS
җирдән,җирдән,CVS-CVS
менә,менә,SV-SV
кинәт,кинәт,CV-SVC
кенә,кенә,CV-SV
син,син,CVS
чыгарсың,чыгарсың,CV-CVS-CVS
кебек,кебек,CV-CVC
шатланып,шатланып,CVC-SV-SVC
бәйрәм,бәjрәм,CVS-SVS
көннәрендә,көннәрендә,CVS-SV-SVS-CV
күзем,күзем,CV-CVS
алмыйм,алмыjм,VS-SVSS
поход,поход,CV-CVC
колоннасы,колоннасы,CV-SVS-SV-CV
өстеннән,өстеннән,VC-CVS-SVS
күпме,күпме,CVC-SV
кеше,кеше,CV-CV
агыла,агыла,V-CV-SV
ничек,ничек,SV-CVC
тә,тә,CV
мин,мин,SVS
таныр,таныр,CV-SVS
идем,идем,V-CVS
булсаң,булсаң,CVS-CVS
төсеңнән,төсеңнән,CV-CVS-SVS
бакчабызда,бакчабызда,CVC-CV-CVC-CV
шомырт,шомырт,CV-SVSC
агачлары,агачлары,V-CVC-SV-SV
җәй,җәj,CVS
буена,буjына,CV-SV-SV
сине,сине,CV-SV
көттеләр,көттеләр,CVC-CV-SVS
син,син,CVS
килмәдең,килмәдең,CVS-SV-CVS
көзге,көзге,CVC-CV
җилләр,җилләр,CVS-SVS
инде,инде,VS-CV
яфракларын,jафракларын,SVC-SVCSV-SVS
җиргә,җиргә,CVS-CV
сиптеләр,сиптеләр,CVC-CV-SVS
бу,бу,CV
вакытлы,вакытлы,CV-CVC-SV
гына,гына,CV-SV
юксынуым,jуксынуым,SVC-CV-SV-VS
дусларымның,дусларымның,CVC-SV-SVS-SVS
исе,исе,V-CV
китмәсен,китмәсен,CVC-SV-CVS
тик,тик,CVC
ярата,jарата,SV-SV-CV
белгән,белгән,CVS-CVS
кеше,кеше,CV-CV
генә,генә,CV-SV
сагына,сагына,CV-CV-SV
шулай,шулаj,CV-SVS
үзенең,үзенең,V-CV-SVS
иптәшен,иптәшен,VC-CV-CVS
