original,phonetic,syllables,syl_number,word_len
кәҗә,кәҗә,CV-CV,2,4
белән,белән,CV-SVS,2,5
сарык,сарык,CV-SVC,2,5
хикәясе,хикәjәсе,CV-CV-SV-CV,4,8
борын,борын,CV-SVS,2,5
заман,заман,CV-SVS,2,5
бер,бер,CVS,1,3
ир,ир,VS,1,2
белән,белән,CV-SVS,2,5
хатын,хатын,CV-CVS,2,5
торган,торган,CVS-CVS,2,6
тормышлары,тормышлары,CVS-SVC-SV-SV,4,10
шактый,шактыj,CVC-CVS,2,6
гына,гына,CV-SV,2,4
фәкыйрь,фәкыjр,CV-CVSS,2,6
булган,булган,CVS-CVS,2,6
асраганнар,асраганнар,VC-SV-CVS-SVS,4,10
бер,бер,CVS,1,3
кәҗә,кәҗә,CV-CV,2,4
берлә,берлә,CVS-SV,2,5
бер,бер,CVS,1,3
сарык,сарык,CV-SVC,2,5
болар,болар,CV-SVS,2,5
булган,булган,CVS-CVS,2,6
берсеннән,берсеннән,CVS-CVS-SVS,3,9
дә,дә,CV,1,2
берсе,берсе,CVS-CV,2,5
арык,арык,V-SVC,2,4
әйтә,әjтә,VS-CV,2,4
бер,бер,CVS,1,3
көн,көн,CVS,1,3
ире,ире,V-SV,2,3
кара,кара,CV-SV,2,4
монда,монда,SVS-CV,2,5
хатын,хатын,CV-CVS,2,5
үзең,үзең,V-CVS,2,4
яхшы,jахшы,SVC-CV,2,5
беләсең,беләсең,CV-SV-CVS,3,7
бит,бит,CVC,1,3
печән,печән,CV-CVS,2,5
хакын,хакын,CV-CVS,2,5
китсен,китсен,CVC-CVS,2,6
бездән,бездән,CVC-CVS,2,6
чыгып,чыгып,CV-CVC,2,5
кәҗә,кәҗә,CV-CV,2,4
белән,белән,CV-SVS,2,5
сарык,сарык,CV-SVC,2,5
ашап,ашап,V-CVC,2,4
ята,jата,SV-CV,2,4
бушка,бушка,CVC-CV,2,5
гына,гына,CV-SV,2,4
алар,алар,V-SVS,2,4
азык,азык,V-CVC,2,4
хатын,хатын,CV-CVS,2,5
күнде,күнде,CVS-CV,2,5
диде,диде,CV-CV,2,4
ирем,ирем,V-SVS,2,4
ярар,jарар,SV-SVS,2,5
ярар,jарар,SV-SVS,2,5
бу,бу,CV,1,2
икене,икене,V-CV-SV,3,5
кумаклыкка,кумаклыкка,CV-SVC-SVC-CV,4,10
булсын,булсын,CVS-CVS,2,6
карар,карар,CV-SVS,2,5
кәҗә,кәҗә,CV-CV,2,4
белән,белән,CV-SVS,2,5
сарык,сарык,CV-SVC,2,5
хәзер,хәзер,CV-CVS,2,5
китсен,китсен,CVC-CVS,2,6
бездән,бездән,CVC-CVS,2,6
аларны,аларны,V-SVS-SV,3,6
соң,соң,CVS,1,3
асрап,асрап,VC-SVC,2,5
торып,торып,CV-SVC,2,5
ни,ни,SV,1,2
файда,фаjда,CVS-CV,2,5
бар,бар,CVS,1,3
нишли,нишли,SVC-SV,2,5
инде,инде,VS-CV,2,4
мискин,мискин,SVC-CVS,2,6
кәҗә,кәҗә,CV-CV,2,4
белән,белән,CV-SVS,2,5
сарык,сарык,CV-SVC,2,5
булмый,булмыj,CVS-SVS,2,6
хуҗа,хуҗа,CV-CV,2,4
кушканына,кушканына,CVC-CV-SV-SV,4,9
каршы,каршы,CVS-CV,2,5
барып,барып,CV-SVC,2,5
икесенә,икесенә,V-CV-CV-SV,4,7
бер,бер,CVS,1,3
зур,зур,CVS,1,3
гына,гына,CV-SV,2,4
капчык,капчык,CVC-CVC,2,6
тегеп,тегеп,CV-CVC,2,5
китте,китте,CVC-CV,2,5
болар,болар,CV-SVS,2,5
