original,phonetic,syllables
алсу,алсу,VS-CV
урам,урам,V-SVS
ташларына,ташларына,CVC-SV-SV-SV
карлар,карлар,CVS-SVS
ява,jаwа,SV-SV
кар,кар,CVS
томалый,томалыj,CV-SV-SVS
чана,чана,CV-SV
юлларын,jулларын,SVS-SV-SVS
карда,карда,CVS-CV
шуа,шуа,CV-V
шуа,шуа,CV-V
алсу,алсу,VS-CV
килә,килә,CV-SV
җиң,җиң,CVS
эченә,эченә,V-CV-SV
тыккан,тыккан,CVC-CVS
кулларын,кулларын,CVS-SV-SVS
җилгә,җилгә,CVS-CV
каршы,каршы,CVS-CV
җылы,җылы,CV-SV
сулышлары,сулышлары,CV-SVC-SV-SV
туңып,туңып,CV-SVC
бөдрә,бөдрә,CVC-SV
чәчен,чәчен,CV-CVS
ак,ак,VC
ясый,jасыj,SV-CVS
юл,jул,SVS
буена,буjына,CV-SV-SV
аны,аны,V-SV
тирги,тирги,CVS-CV
тирги,тирги,CVS-CV
сүгнә,сүгнә,CVC-SV
сүгнә,сүгнә,CVC-SV
кайта,каjта,CVS-CV
газзәсе,газзәсе,CVC-CV-CV
алсу,алсу,VS-CV
тукта,тукта,CVC-CV
инде,инде,VS-CV
акыллым,акыллым,V-CVS-SVS
абау,абаw,V-CVS
тагын,тагын,CV-CVS
карга,карга,CVS-CV
батырдың,батырдың,CV-CVS-CVS
ул,ул,VS
үпкәләп,үпкәләп,VC-CV-SVC
читкә,читкә,CVC-CV
китә,китә,CV-CV
аны,аны,V-SV
алсу,алсу,VS-CV
тагын,тагын,CV-CVS
ялынып,jалынып,SV-SV-SVC
чакыра,чакыра,CV-CV-SV
кил,кил,CVS
уйнамыйм,уjнамыjм,VS-SV-SVSS
бетте,бетте,CVC-CV
кил,кил,CVS
инде,инде,VS-CV
үзе,үзе,V-CV
килсә,килсә,CVS-CV
карга,карга,CVS-CV
батыра,батыра,CV-CV-SV
салкын,салкын,CVS-CVS
карга,карга,CVS-CV
басып,басып,CV-CVC
алсу,алсу,VS-CV
килә,килә,CV-SV
үзе,үзе,V-CV
көлә,көлә,CV-SV
үзе,үзе,V-CV
сөйкемле,сөjкемле,CVS-CVS-SV
үзе,үзе,V-CV
усал,усал,V-CVS
үзе,үзе,V-CV
болай,болаj,CV-SVS
бер,бер,CVS
дә,дә,CV
усал,усал,V-CVS
түгел,түгел,CV-CVS
кебек,кебек,CV-CVC
шикелле,шикелле,CV-CVS-SV
урам,урам,V-SVS
шаулый,шаwлыj,CVS-SVS
шаулый,шаwлыj,CVS-SVS
төн,төн,CVS
уздыра,уздыра,VC-CV-SV
кемнең,кемнең,CVS-SVS
