original,phonetic,syllables,syl_number,word_len
мин,мин,SVS,1,3
яшь,jәш,SVC,1,3
сабый,сабыj,CV-CVS,2,5
идем,идем,V-CVS,2,4
әле,әле,V-SV,2,3
кайдан,каjдан,CVS-CVS,2,6
килеп,килеп,CV-SVC,2,5
кайда,каjда,CVS-CV,2,5
баруы,баруы,CV-SV-V,3,5
һичкемгә,һичкемгә,CVC-CVS-CV,3,8
мәгълүм,мәглүм,SVC-SVS,2,6
булмаган,булмаган,CVS-SV-CVS,3,8
бер,бер,CVS,1,3
үткенче,үткенче,VC-CVS-CV,3,7
мөсафир,мөсафир,SV-CV-CVS,3,7
бабай,бабаj,CV-CVS,2,5
бездә,бездә,CVC-CV,2,5
хәл,хәл,CVS,1,3
җыярга,җыjарга,CV-SVS-CV,3,7
туктаган,туктаган,CVC-CV-CVS,3,8
вакытта,вакытта,CV-CVC-CV,3,7
үлеп,үлеп,V-SVC,2,4
калды,калды,CVS-CV,2,5
ул,ул,VS,1,2
бик,бик,CVC,1,3
карт,карт,CVSC,1,4
иде,иде,V-CV,2,3
бөтенләй,бөтенләj,CV-CVS-SVS,3,8
ялгыз,jалгыз,SVS-CVC,2,6
иде,иде,V-CV,2,3
шуның,шуның,CV-SVS,2,5
өчен,өчен,V-CVS,2,4
кызганып,кызганып,CVC-CV-SVC,3,8
яшь,jәш,SVC,1,3
түгүчесе,түгүчесе,CV-CV-CV-CV,4,8
дә,дә,CV,1,2
булмады,булмады,CVS-SV-CV,3,7
менә,менә,SV-SV,2,4
шул,шул,CVS,1,3
бабай,бабаj,CV-CVS,2,5
үләр,үләр,V-SVS,2,4
алдыннан,алдыннан,VS-CVS-SVS,3,8
үзенә,үзенә,V-CV-SV,3,5
чакырды,чакырды,CV-CVS-CV,3,7
да,да,CV,1,2
миңа,миңа,SV-SV,2,4
бер,бер,CVS,1,3
уч,уч,VC,1,2
тутырып,тутырып,CV-CV-SVC,3,7
орлыклар,орлыклар,VS-SVC-SVS,3,8
бирде,бирде,CVS-CV,2,5
болар,болар,CV-SVS,2,5
кызыллар,кызыллар,CV-CVS-SVS,3,8
иде,иде,V-CV,2,3
матурлар,матурлар,SV-CVS-SVS,3,8
иде,иде,V-CV,2,3
яз,jаз,SVC,1,3
килгәч,килгәч,CVS-CVC,2,6
диде,диде,CV-CV,2,4
боларны,боларны,CV-SVS-SV,3,7
чәчәрсең,чәчәрсең,CV-CVS-CVS,3,8
туфракларын,туфракларын,CVC-SVC-SV-SVS,4,11
йомшарта,jомшарта,SVS-CVS-CV,3,8
тор,тор,CVS,1,3
вакытында,вакытында,CV-CV-CVS-CV,4,9
су,су,CV,1,2
сибәргә,сибәргә,CV-CVS-CV,3,7
онытма,онытма,V-SVC-SV,3,6
өсләренә,өсләренә,VC-SV-SV-SV,4,8
чүпчар,чүпчар,CVC-CVS,2,6
төшеп,төшеп,CV-CVC,2,5
кояш,коjаш,CV-SVC,2,5
