original,phonetic,syllables,syl_number,word_len
су,су,CV,1,2
анасы,анасы,V-SV-CV,3,5
бер,бер,CVS,1,3
авыл,аwыл,V-SVS,2,4
малае,малаjы,SV-SV-SV,3,6
авызыннан,аwызыннан,V-SV-CVS-SVS,4,9
җәй,җәj,CVS,1,3
көне,көне,CV-SV,2,4
эссе,эссе,VC-CV,2,4
һавада,һаwада,CV-SV-CV,3,6
мин,мин,SVS,1,3
суда,суда,CV-CV,2,4
койнам,коjнам,CVS-SVS,2,6
йөзәм,jөзәм,SV-CVS,2,5
чәчрәтәм,чәчрәтәм,CVC-SV-CVS,3,8
уйныйм,уjныjм,VS-SVSS,2,6
чумам,чумам,CV-SVS,2,5
башым,башым,CV-CVS,2,5
белән,белән,CV-SVS,2,5
суны,суны,CV-SV,2,4
сөзәм,сөзәм,CV-CVS,2,5
шул,шул,CVS,1,3
рәвешчә,рәwешчә,SV-SVC-CV,3,7
бер,бер,CVS,1,3
сәгать,сәгат,CV-CVC,2,5
ярым,jарым,SV-SVS,2,5
кадәрле,кадәрле,CV-CVS-SV,3,7
уйнагач,уjнагач,VS-SV-CVC,3,7
инде,инде,VS-CV,2,4
шаять,шаjат,CV-SVC,2,5
бер,бер,CVS,1,3
сәгатьсез,сәгатсез,CV-CVC-CVC,3,8
тирләмәм,тирләмәм,CVS-SV-SVS,3,8
дип,дип,CVC,1,3
уйлагач,уjлагач,VS-SV-CVC,3,7
йөгереп,jөгереп,SV-CV-SVC,3,7
чыктым,чыктым,CVC-CVS,2,6
судан,судан,CV-CVS,2,5
тиз,тиз,CVC,1,3
тиз,тиз,CVC,1,3
киендем,киjендем,CV-SVS-CVS,3,8
өс,өс,VC,1,2
башым,башым,CV-CVS,2,5
куркам,куркам,CVS-CVS,2,6
үзем,үзем,V-CVS,2,4
әллә,әллә,VS-SV,2,4
нидән,нидән,SV-CVS,2,5
юк,jук,SVC,1,3
янымда,jанымда,SV-SVS-CV,3,7
юлдашым,jулдашым,SVS-CV-CVS,3,8
бервакыт,бервакыт,CVS-CV-CVC,3,8
китәм,китәм,CV-CVS,2,5
дигәндә,дигәндә,CV-CVS-CV,3,7
төште,төште,CVC-CV,2,5
күзем,күзем,CV-CVS,2,5
басмага,басмага,CVC-SV-CV,3,7
карасам,карасам,CV-SV-CVS,3,7
бер,бер,CVS,1,3
куркыныч,куркыныч,CVS-CV-SVC,3,8
хатын,хатын,CV-CVS,2,5
утырган,утырган,V-CVS-CVS,3,7
басмада,басмада,CVC-SV-CV,3,7
көнгә,көнгә,CVS-CV,2,5
каршы,каршы,CVS-CV,2,5
ялтырый,jалтырыj,SVS-CV-SVS,3,8
кулындагы,кулындагы,CV-SVS-CV-CV,4,9
алтын,алтын,VS-CVS,2,5
тарак,тарак,CV-SVC,2,5
шул,шул,CVS,1,3
тарак,тарак,CV-SVC,2,5
берлән,берлән,CVS-SVS,2,6
утыра,утыра,V-CV-SV,3,5
тузгыган,тузгыган,CVC-CV-CVS,3,8
сачен,сачен,CV-CVS,2,5
тарап,тарап,CV-SVC,2,5
тын,тын,CVS,1,3
да,да,CV,1,2
алмыйча,алмыjча,VS-SVS-CV,3,7
торам,торам,CV-SVS,2,5
куркып,куркып,CVS-CVC,2,6
кына,кына,CV-SV,2,4
тешне,тешне,CVC-SV,2,5
кысып,кысып,CV-CVC,2,5
шунда,шунда,CVS-CV,2,5
яр,jар,SVS,1,3
буендагы,буjындагы,CV-SVS-CV-CV,4,9
куе,куjы,CV-SV,2,4
агачларга,агачларга,V-CVC-SVS-CV,4,9
посып,посып,CV-CVC,2,5
сачләрен,сачләрен,CVC-SV-SVS,3,8
үргәч,үргәч,VS-CVC,2,5
тарап,тарап,CV-SVC,2,5
сикерде,сикерде,CV-CVS-CV,3,7
төште,төште,CVC-CV,2,5
суга,суга,CV-CV,2,4
ул,ул,VS,1,2
чумды,чумды,CVS-CV,2,5
да,да,CV,1,2
китте,китте,CVC-CV,2,5
тәмам,тәмам,CV-SVS,2,5
юк,jук,SVC,1,3
булды,булды,CVS-CV,2,5
күздән,күздән,CVC-CVS,2,6
шунда,шунда,CVS-CV,2,5
ул,ул,VS,1,2
инде,инде,VS-CV,2,4
мин,мин,SVS,1,3
әкрен,әкрен,VC-SVS,2,5
генә,генә,CV-SV,2,4
килдем,килдем,CVS-CVS,2,6
дә,дә,CV,1,2
кердем,кердем,CVS-CVS,2,6
басмага,басмага,CVC-SV-CV,3,7
җен,җен,CVS,1,3
оныткан,оныткан,V-SVC-CVS,3,7
ахыры,ахыры,V-CV-SV,3,5
калган,калган,CVS-CVS,2,6
тарагы,тарагы,CV-SV-CV,3,6
басмада,басмада,CVC-SV-CV,3,7
як,jак,SVC,1,3
ягымда,jагымда,SV-CVS-CV,3,7
һич,һич,CVC,1,3
кеше,кеше,CV-CV,2,4
дә,дә,CV,1,2
юклыгын,jуклыгын,SVC-SV-CVS,3,8
белдем,белдем,CVS-CVS,2,6
дә,дә,CV,1,2
мин,мин,SVS,1,3
чаптым,чаптым,CVC-CVS,2,6
авылга,аwылга,V-SVS-CV,3,6
таракны,таракны,CV-SVC-SV,3,7
тиз,тиз,CVC,1,3
генә,генә,CV-SV,2,4
элдем,элдем,VS-CVS,2,5
дә,дә,CV,1,2
мин,мин,SVS,1,3
күрмимен,күрмимен,CVS-SV-SVS,3,8
алны,алны,VS-SV,2,4
вә,wә,SV,1,2
артны,артны,VSC-SV,2,5
и,и,V,1,1
чабам,чабам,CV-CVS,2,5
мин,мин,SVS,1,3
и,и,V,1,1
чабам,чабам,CV-CVS,2,5
ашыгам,ашыгам,V-CV-CVS,3,6
тирлим,тирлим,CVS-SVS,2,6
пешәм,пешәм,CV-CVS,2,5
һәм,һәм,CVS,1,3
кып,кып,CVC,1,3
кызу,кызу,CV-CV,2,4
уттай,уттаj,VC-CVS,2,5
янам,jанам,SV-SVS,2,5
берзаманны,берзаманны,CVS-CV-SVS-SV,4,10
әйләнеп,әjләнеп,VS-SV-SVC,3,7
баккан,баккан,CVC-CVS,2,6
идем,идем,V-CVS,2,4
артка,артка,VSC-CV,2,5
таба,таба,CV-CV,2,4
аһ,аһ,VC,1,2
харап,харап,CV-SVC,2,5
