original,phonetic,syllables,syl_number,word_len
ах,ах,VC,1,2
хәят,хәjәт,CV-SVC,2,5
нинди,нинди,SVS-CV,2,5
матур,матур,SV-CVS,2,5
син,син,CVS,1,3
майның,маjның,SVS-SVS,2,6
бер,бер,CVS,1,3
якшәмбесе,jәкшәмбесе,SVC-CVS-CV-CV,4,10
көндезге,көндезге,CVS-CVC-CV,3,8
сәгать,сәгат,CV-CVC,2,5
өчләр,өчләр,VC-SVS,2,5
иде,иде,V-CV,2,3
бер,бер,CVS,1,3
сәгать,сәгат,CV-CVC,2,5
кенә,кенә,CV-SV,2,4
моннан,моннан,SVS-SVS,2,6
әүвәл,әwwәл,VS-SVS,2,5
явып,jаwып,SV-SVC,2,5
киткән,киткән,CVC-CVS,2,6
җиңел,җиңел,CV-SVS,2,5
яңгыр,jаңгыр,SVS-CVS,2,6
шәһәр,шәһәр,CV-CVS,2,5
урамнарының,урамнарының,V-SVS-SV-SV-SVS,5,11
тузанын,тузанын,CV-CV-SVS,3,7
баскан,баскан,CVC-CVS,2,6
һәм,һәм,CVS,1,3
һавадагы,һаwадагы,CV-SV-CV-CV,4,8
кызулыкны,кызулыкны,CV-CV-SVC-SV,4,9
җиңелчә,җиңелчә,CV-SVS-CV,3,7
язгы,jазгы,SVC-CV,2,5
җылылык,җылылык,CV-SV-SVC,3,7
белән,белән,CV-SVS,2,5
алмаштырып,алмаштырып,VS-SVC-CV-SVC,4,10
көнне,көнне,CVS-SV,2,5
ямьле,jәмле,SVS-SV,2,5
лекнең,лекнең,SVC-SVS,2,6
чигенә,чигенә,CV-CV-SV,3,6
ирештергән,ирештергән,V-SVC-CVS-CVS,4,10
иде,иде,V-CV,2,3
әле,әле,V-SV,2,3
һаман,һаман,CV-SVS,2,5
һавадан,һаwадан,CV-SV-CVS,3,7
җуялып,җуjалып,CV-SV-SVC,3,7
бетмәгән,бетмәгән,CVC-SV-CVS,3,8
яз,jаз,SVC,1,3
җиле,җиле,CV-SV,2,4
кояш,коjаш,CV-SVC,2,5
батышы,батышы,CV-CV-CV,3,6
ягыннан,jагыннан,SV-CVS-SVS,3,8
аерым,аjырым,V-SV-SVS,3,6
бер,бер,CVS,1,3
акрынлык,акрынлык,VC-SVS-SVC,3,8
һәм,һәм,CVS,1,3
тынычлык,тынычлык,CV-SVC-SVC,3,8
белән,белән,CV-SVS,2,5
исә,исә,V-CV,2,3
дә,дә,CV,1,2
дөньяга,дөнjага,CVS-SV-CV,3,7
яңару,jаңару,SV-SV-SV,3,6
һәм,һәм,CVS,1,3
яшәрү,jәшәрү,SV-CV-SV,3,6
исләре,исләре,VC-SV-SV,3,6
чәчә,чәчә,CV-CV,2,4
һәм,һәм,CVS,1,3
бөтен,бөтен,CV-CVS,2,5
җанлы,җанлы,CVS-SV,2,5
һәм,һәм,CVS,1,3
җансыз,җансыз,CVS-CVC,2,6
нәрсәләрне,нәрсәләрне,SVS-CV-SVS-SV,4,10
үзләренә,үзләренә,VC-SV-SV-SV,4,8
бер,бер,CVS,1,3
төрле,төрле,CVS-SV,2,5
тереклектә,тереклектә,CV-SVC-SVC-CV,4,10
коендыра,коjындыра,CV-SVS-CV-SV,4,9
иде,иде,V-CV,2,3
n,n,n,1,1
шәһәренең,шәһәренең,CV-CV-SV-SVS,4,9
уртарак,уртарак,VS-CV-SVC,3,7
бер,бер,CVS,1,3
урамындагы,урамындагы,V-SV-SVS-CV-CV,5,10
гыймадовлар,гыjмадовлар,CVS-SV-CVC-SVS,4,11
йортының,jортының,SVS-CV-SVS,3,8
капкасы,капкасы,CVC-CV-CV,3,7
төбенә,төбенә,CV-CV-SV,3,6
килеп,килеп,CV-SVC,2,5
туктаган,туктаган,CVC-CV-CVS,3,8
кечерәк,кечерәк,CV-CV-SVC,3,7
кенә,кенә,CV-SV,2,4
тарантастан,тарантастан,CV-SVS-CVC-CVS,4,11
гимназия,гимназиjа,CVS-SV-CV-SV,4,9
формасында,формасында,CVS-SV-CVS-CV,4,10
киенгән,киjенгән,CV-SVS-CVS,3,8
уналты,уналты,V-SVS-CV,3,6
унҗиде,унҗиде,VS-CV-CV,3,6
яшьлек,jәшлек,SVC-SVC,2,6
чандыррак,чандыррак,CVS-CVS-SVC,3,9
ябыграк,jабыграк,SV-CVC-SVC,3,8
кына,кына,CV-SV,2,4
гәүдәле,гәwдәле,CVS-CV-SV,3,7
уртача,уртача,VS-CV-CV,3,6
буйлы,буjлы,CVS-SV,2,5
зәңгәрсу,зәңгәрсу,CVS-CVS-CV,3,8
күзле,күзле,CVC-SV,2,5
кыскарак,кыскарак,CVC-CV-SVC,3,8
ләкин,ләкин,SV-CVS,2,5
бик,бик,CVC,1,3
куе,куjы,CV-SV,2,4
сары,сары,CV-SV,2,4
чәчле,чәчле,CVC-SV,2,5
бер,бер,CVS,1,3
кыз,кыз,CVC,1,3
төште,төште,CVC-CV,2,5
дә,дә,CV,1,2
җиңел,җиңел,CV-SVS,2,5
адымнар,адымнар,V-CVS-SVS,3,7
белән,белән,CV-SVS,2,5
ашыкмый,ашыкмыj,V-CVC-SVS,3,7
гына,гына,CV-SV,2,4
капкадан,капкадан,CVC-CV-CVS,3,8
кереп,кереп,CV-SVC,2,5
китте,китте,CVC-CV,2,5
һәм,һәм,CVS,1,3
ишегалдына,ишегалдына,V-CV-CVS-CV-SV,5,10
кергәч,кергәч,CVS-CVC,2,6
тә,тә,CV,1,2
каршысына,каршысына,CVS-CV-CV-SV,4,9
очраган,очраган,VC-SV-CVS,3,7
искерәк,искерәк,VC-CV-SVC,3,7
һәм,һәм,CVS,1,3
шапшаграк,шапшаграк,CVC-CVC-SVC,3,9
киенгән,киjенгән,CV-SVS-CVS,3,8
калын,калын,CV-SVS,2,5
йөзле,jөзле,SVC-SV,2,5
асрауны,асраwны,VC-SVS-SV,3,7
туктатып,туктатып,CVC-CV-CVC,3,8
биби,биби,CV-CV,2,4
хаечка,хаjычка,CV-SVC-CV,3,7
дома,дома,CV-SV,2,4
дип,дип,CVC,1,3
сорады,сорады,CV-SV-CV,3,6
биби,биби,CV-CV,2,4
ни,ни,SV,1,2
өчен,өчен,V-CVS,2,4
икәнен,икәнен,V-CV-SVS,3,6
үзе,үзе,V-CV,2,3
дә,дә,CV,1,2
белмичә,белмичә,CVS-SV-CV,3,7
бик,бик,CVC,1,3
киң,киң,CVS,1,3
итеп,итеп,V-CVC,2,4
елмайды,jылмаjды,SVS-SVS-CV,3,8
һәм,һәм,CVS,1,3
җәһәт,җәһәт,CV-CVC,2,5
кенә,кенә,CV-SV,2,4
адымнар,адымнар,V-CVS-SVS,3,7
белән,белән,CV-SVS,2,5
ишегалды,ишегалды,V-CV-CVS-CV,4,8
түрендәге,түрендәге,CV-SVS-CV-CV,4,9
бакчаның,бакчаның,CVC-CV-SVS,3,8
челтәрле,челтәрле,CVS-CVS-SV,3,8
коймасы,коjмасы,CVS-SV-CV,3,7
янына,jанына,SV-SV-SV,3,6
килеп,килеп,CV-SVC,2,5
хәят,хәjәт,CV-SVC,2,5
апа,апа,V-CV,2,3
лиза,лиза,SV-CV,2,4
килде,килде,CVS-CV,2,5
дип,дип,CVC,1,3
кычкырды,кычкырды,CVC-CVS-CV,3,8
бер,бер,CVS,1,3
минуттан,минуттан,SV-SVC-CVS,3,8
соң,соң,CVS,1,3
бакчадан,бакчадан,CVC-CV-CVS,3,8
хәятның,хәjатның,CV-SVC-SVS,3,8
йөгереп,jөгереп,SV-CV-SVC,3,7
чыкканлыгы,чыкканлыгы,CVC-CVS-SV-CV,4,10
күренде,күренде,CV-SVS-CV,3,7
матур,матур,SV-CVS,2,5
бу,бу,CV,1,2
кызның,кызның,CVC-SVS,2,6
озын,озын,V-CVS,2,4
керфекле,керфекле,CVS-CVC-SV,3,8
кара,кара,CV-SV,2,4
күзләре,күзләре,CVC-SV-SV,3,7
алсурак,алсурак,VS-CV-SVC,3,7
йөзенә,jөзенә,SV-CV-SV,3,6
могҗизалы,могҗизалы,SVC-CV-CV-SV,4,9
якутлар,jакутлар,SV-CVC-SVS,3,8
шикелле,шикелле,CV-CVS-SV,3,7
нур,нур,SVS,1,3
чәчеп,чәчеп,CV-CVC,2,5
торганлыктан,торганлыктан,CVS-CVS-SVC-CVS,4,12
гүзәл,гүзәл,CV-CVS,2,5
башы,башы,CV-CV,2,4
хәтта,хәтта,CVC-CV,2,5
бөтен,бөтен,CV-CVS,2,5
буе,буjы,CV-SV,2,4
нурда,нурда,SVS-CV,2,5
йөзә,jөзә,SV-CV,2,4
шикелле,шикелле,CV-CVS-SV,3,7
күренә,күренә,CV-SV-SV,3,6
иде,иде,V-CV,2,3
ул,ул,VS,1,2
о,о,V,1,1
лиза,лиза,SV-CV,2,4
менә,менә,SV-SV,2,4
гакыллы,гакыллы,CV-CVS-SV,3,7
дустын,дустын,CVC-CVS,2,6
онытмаган,онытмаган,V-SVC-SV-CVS,4,9
дип,дип,CVC,1,3
шатлыклы,шатлыклы,CVC-SVC-SV,3,8
йөгереп,jөгереп,SV-CV-SVC,3,7
гимназистка,гимназистка,CVS-SV-CVCC-CV,3,11
янына,jанына,SV-SV-SV,3,6
килде,килде,CVS-CV,2,5
дуслар,дуслар,CVC-SVS,2,6
бик,бик,CVC,1,3
күптән,күптән,CVC-CVS,2,6
күрешми,күрешми,CV-SVC-SV,3,7
торган,торган,CVS-CVS,2,6
шикелле,шикелле,CV-CVS-SV,3,7
үбешеп,үбешеп,V-CV-CVC,3,6
күрештеләр,күрештеләр,CV-SVC-CV-SVS,4,10
дә,дә,CV,1,2
өйгә,өjгә,VS-CV,2,4
кереп,кереп,CV-SVC,2,5
киттеләр,киттеләр,CVC-CV-SVS,3,8
лизалар,лизалар,SV-CV-SVS,3,7
моннан,моннан,SVS-SVS,2,6
ун,ун,VS,1,2
көн,көн,CVS,1,3
әүвәл,әwwәл,VS-SVS,2,5
n,n,n,1,1
шәһәреннән,шәһәреннән,CV-CV-SVS-SVS,4,10
ике,ике,V-CV,2,3
өч,өч,VC,1,2
чакрым,чакрым,CVC-SVS,2,6
ераклыктагы,jыраклыктагы,SV-SVC-SVC-CV-CV,5,12
бер,бер,CVS,1,3
җиргә,җиргә,CVS-CV,2,5
дачага,дачага,CV-CV-CV,3,6
чыкканнар,чыкканнар,CVC-CVS-SVS,3,9
һәм,һәм,CVS,1,3
аның,аның,V-SVS,2,4
бүгенге,бүгенге,CV-CVS-CV,3,7
килүе,килүе,CV-SV-V,3,5
дачага,дачага,CV-CV-CV,3,6
чыкканнан,чыкканнан,CVC-CVS-SVS,3,9
соң,соң,CVS,1,3
әүвәлге,әwwәлге,VS-SVS-CV,3,7
килүе,килүе,CV-SV-V,3,5
иде,иде,V-CV,2,3
кунак,кунак,CV-SVC,2,5
кыз,кыз,CVC,1,3
хәятның,хәjатның,CV-SVC-SVS,3,8
анасы,анасы,V-SV-CV,3,5
газизә,газизә,CV-CV-CV,3,6
абыстай,абыстаj,V-CVC-CVS,3,7
белән,белән,CV-SVS,2,5
ике,ике,V-CV,2,3
куллап,куллап,CVS-SVC,2,6
күреште,күреште,CV-SVC-CV,3,7
дә,дә,CV,1,2
хәзер,хәзер,CV-CVS,2,5
хәятны,хәjатны,CV-SVC-SV,3,7
үзләренә,үзләренә,VC-SV-SV-SV,4,8
кунакка,кунакка,CV-SVC-CV,3,7
алырга,алырга,V-SVS-CV,3,6
килтәнлеген,килтәнлеген,CVS-CVS-SV-CVS,4,11
сөйләде,сөjләде,CVS-SV-CV,3,7
газизә,газизә,CV-CV-CV,3,6
абыстай,абыстаj,V-CVC-CVS,3,7
лизаны,лизаны,SV-CV-SV,3,6
бик,бик,CVC,1,3
хөрмәтләп,хөрмәтләп,CVS-SVC-SVC,3,9
кабул,кабул,CV-CVS,2,5
итте,итте,VC-CV,2,4
ләкин,ләкин,SV-CVS,2,5
ватык,ватык,CV-CVC,2,5
кына,кына,CV-SV,2,4
русча,русча,SVC-CV,2,5
тел,тел,CVS,1,3
белән,белән,CV-SVS,2,5
хәятны,хәjатны,CV-SVC-SV,3,7
атасы,атасы,V-CV-CV,3,5
рөхсәтеннән,рөхсәтеннән,SVC-CV-CVS-SVS,4,11
башка,башка,CVC-CV,2,5
андый,андыj,VS-CVS,2,5
ерак,jырак,SV-SVC,2,5
җиргә,җиргә,CVS-CV,2,5
җибәрергә,җибәрергә,CV-CV-SVS-CV,4,9
яхшысынмый,jахшысынмыj,SVC-CV-CVS-SVS,4,11
икәнен,икәнен,V-CV-SVS,3,6
аңлатты,аңлатты,VS-SVC-CV,3,7
лиза,лиза,SV-CV,2,4
газизә,газизә,CV-CV-CV,3,6
абыстайның,абыстаjның,V-CVC-CVS-SVS,4,10
бер,бер,CVS,1,3
дә,дә,CV,1,2
ай,аj,VS,1,2
ваена,ваjына,CV-SV-SV,3,6
карамады,карамады,CV-SV-SV-CV,4,8
борһан,борһан,CVS-CVS,2,6
ахмедович,ахмедович,VC-SV-CV-CVC,4,9
ачулана,ачулана,V-CV-SV-SV,4,7
башласа,башласа,CVC-SV-CV,3,7
мине,мине,SV-SV,2,4
гаепле,гаjыпле,CV-SVC-SV,3,7
итеп,итеп,V-CVC,2,4
күрсәтерсез,күрсәтерсез,CVS-CV-CVS-CVC,4,11
мин,мин,SVS,1,3
аннан,аннан,VS-SVS,2,5
үзем,үзем,V-CVS,2,4
гафу,гафу,CV-CV,2,4
үтенермен,үтенермен,V-CV-SVS-SVS,4,9
дип,дип,CVC,1,3
газизә,газизә,CV-CV-CV,3,6
абыстайны,абыстаjны,V-CVC-CVS-SV,4,9
ярым,jарым,SV-SVS,2,5
көчләп,көчләп,CVC-SVC,2,6
рөхсәт,рөхсәт,SVC-CVC,2,6
бирергә,бирергә,CV-SVS-CV,3,7
ирексез,ирексез,V-SVC-CVC,3,7
итте,итте,VC-CV,2,4
кызлар,кызлар,CVC-SVS,2,6
хәят,хәjәт,CV-SVC,2,5
бүлмәсенә,бүлмәсенә,CVS-SV-CV-SV,4,9
керделәр,керделәр,CVS-CV-SVS,3,8
хәятка,хәjатка,CV-SVC-CV,3,7
өстен,өстен,VC-CVS,2,5
алыштырырга,алыштырырга,V-SVC-CV-SVS-CV,5,11
һәм,һәм,CVS,1,3
чәчен,чәчен,CV-CVS,2,5
прическаларга,прическаларга,CSV-CVC-CV-SVS-CV,5,13
кирәк,кирәк,CV-SVC,2,5
иде,иде,V-CV,2,3
ул,ул,VS,1,2
озын,озын,V-CVS,2,4
куе,куjы,CV-SV,2,4
һәм,һәм,CVS,1,3
үз,үз,VC,1,2
үзләреннән,үзләреннән,VC-SV-SVS-SVS,4,10
күперенеп,күперенеп,CV-CV-SV-SVC,4,9
тора,тора,CV-SV,2,4
торган,торган,CVS-CVS,2,6
кара,кара,CV-SV,2,4
ефәк,jефәк,SV-CVC,2,5
көлтәсе,көлтәсе,CVS-CV-CV,3,7
шикелле,шикелле,CV-CVS-SV,3,7
чәчләрен,чәчләрен,CVC-SV-SVS,3,8
тараганда,тараганда,CV-SV-CVS-CV,4,9
лиза,лиза,SV-CV,2,4
дача,дача,CV-CV,2,4
хәлләрен,хәлләрен,CVS-SV-SVS,3,8
сөйли,сөjли,CVS-SV,2,5
торды,торды,CVS-CV,2,5
башкалар,башкалар,CVC-CV-SVS,3,8
арасында,арасында,V-SV-CVS-CV,4,8
дачада,дачада,CV-CV-CV,3,6
егетләрнең,jегетләрнең,SV-CVC-SVS-SVS,4,11
күплеген,күплеген,CVC-SV-CVS,3,8
хәзер,хәзер,CV-CVS,2,5
инде,инде,VS-CV,2,4
аларның,аларның,V-SVS-SVS,3,7
һәммәсе,һәммәсе,CVS-SV-CV,3,7
белән,белән,CV-SVS,2,5
үзенең,үзенең,V-CV-SVS,3,6
танышып,танышып,CV-SV-CVC,3,7
җиткәнлеген,җиткәнлеген,CVC-CVS-SV-CVS,4,11
лиза,лиза,SV-CV,2,4
үзенә,үзенә,V-CV-SV,3,5
бертөрле,бертөрле,CVS-CVS-SV,3,8
кәефләп,кәефләп,CV-VC-SVC,3,7
сөйләде,сөjләде,CVS-SV-CV,3,7
хәят,хәjәт,CV-SVC,2,5
прическасын,прическасын,CSV-CVC-CV-CVS,4,11
ясап,jасап,SV-CVC,2,5
бетергәч,бетергәч,CV-CVS-CVC,3,8
дуслар,дуслар,CVC-SVS,2,6
ничек,ничек,SV-CVC,2,5
киенү,киjенү,CV-SV-SV,3,6
турысында,турысында,CV-SV-CVS-CV,4,9
кызу,кызу,CV-CV,2,4
гына,гына,CV-SV,2,4
сөйләшеп,сөjләшеп,CVS-SV-CVC,3,8
алдылар,алдылар,VS-CV-SVS,3,7
да,да,CV,1,2
хәят,хәjәт,CV-SVC,2,5
киенергә,киjенергә,CV-SV-SVS-CV,4,9
лиза,лиза,SV-CV,2,4
аңа,аңа,V-SV,2,3
булышырга,булышырга,CV-SV-CVS-CV,4,9
тотынды,тотынды,CV-CVS-CV,3,7
хәят,хәjәт,CV-SVC,2,5
әле,әле,V-SV,2,3
бары,бары,CV-SV,2,4
уналтынчыда,уналтынчыда,V-SVS-CVS-CV-CV,5,11
гына,гына,CV-SV,2,4
булса,булса,CVS-CV,2,5
да,да,CV,1,2
быел,быjыл,CV-SVS,2,5
кыш,кыш,CVC,1,3
ул,ул,VS,1,2
кинәт,кинәт,CV-SVC,2,5
үсеп,үсеп,V-CVC,2,4
китеп,китеп,CV-CVC,2,5
буе,буjы,CV-SV,2,4
сыны,сыны,CV-SV,2,4
белән,белән,CV-SVS,2,5
инде,инде,VS-CV,2,4
җиткән,җиткән,CVC-CVS,2,6
кызлардан,кызлардан,CVC-SVS-CVS,3,9
аермасыз,аjырмасыз,V-SVS-SV-CVC,4,9
булган,булган,CVS-CVS,2,6
иде,иде,V-CV,2,3
аның,аның,V-SVS,2,4
яшь,jәш,SVC,1,3
икәнлеген,икәнлеген,V-CVS-SV-CVS,4,9
күрсәтә,күрсәтә,CVS-CV-CV,3,7
торган,торган,CVS-CVS,2,6
бер,бер,CVS,1,3
билге,билге,CVS-CV,2,5
булса,булса,CVS-CV,2,5
ул,ул,VS,1,2
да,да,CV,1,2
бу,бу,CV,1,2
яшьтә,jәштә,SVC-CV,2,5
кинәт,кинәт,CV-SVC,2,5
үсеп,үсеп,V-CVC,2,4
киткән,киткән,CVC-CVS,2,6
кызларның,кызларның,CVC-SVS-SVS,3,9
һәммәсендә,һәммәсендә,CVS-SV-CVS-CV,4,10
була,була,CV-SV,2,4
торганча,торганча,CVS-CVS-CV,3,8
әгъзаларның,әгзаларның,VC-CV-SVS-SVS,4,10
гомуми,гомуми,CV-SV-SV,3,6
күренеше,күренеше,CV-SV-SV-CV,4,8
белән,белән,CV-SVS,2,5
бик,бик,CVC,1,3
үк,үк,VC,1,2
туры,туры,CV-SV,2,4
килмәгән,килмәгән,CVS-SV-CVS,3,8
нечкәлек,нечкәлек,SVC-CV-SVC,3,8
кенә,кенә,CV-SV,2,4
иде,иде,V-CV,2,3
аның,аның,V-SVS,2,4
быел,быjыл,CV-SVS,2,5
тектергән,тектергән,CVC-CVS-CVS,3,9
ал,ал,VS,1,2
ефәк,jефәк,SV-CVC,2,5
декольте,деколте,CV-CVS-CV,3,7
күлмәге,күлмәге,CVS-SV-CV,3,7
инде,инде,VS-CV,2,4
җиткән,җиткән,CVC-CVS,2,6
кызлар,кызлар,CVC-SVS,2,6
кия,киjә,CV-SV,2,4
торган,торган,CVS-CVS,2,6
модаларның,модаларның,SV-CV-SVS-SVS,4,10
иң,иң,VS,1,2
соңгысы,соңгысы,CVS-CV-CV,3,7
белән,белән,CV-SVS,2,5
тегелгән,тегелгән,CV-CVS-CVS,3,8
иде,иде,V-CV,2,3
хәят,хәjәт,CV-SVC,2,5
лизаларга,лизаларга,SV-CV-SVS-CV,4,9
барырга,барырга,CV-SVS-CV,3,7
шул,шул,CVS,1,3
күлмәген,күлмәген,CVS-SV-CVS,3,8
киде,киде,CV-CV,2,4
һәм,һәм,CVS,1,3
дустының,дустының,CVC-CV-SVS,3,8
киңәше,киңәше,CV-SV-CV,3,6
буенча,буjынча,CV-SVS-CV,3,7
күлмәге,күлмәге,CVS-SV-CV,3,7
белән,белән,CV-SVS,2,5
бер,бер,CVS,1,3
төстәге,төстәге,CVC-CV-CV,3,7
кечкенә,кечкенә,CVC-CV-SV,3,7
генә,генә,CV-SV,2,4
калфагын,калфагын,CVS-CV-CVS,3,8
да,да,CV,1,2
прическалы,прическалы,CSV-CVC-CV-SV,4,10
чәчләре,чәчләре,CVC-SV-SV,3,7
арасына,арасына,V-SV-CV-SV,4,7
кадап,кадап,CV-CVC,2,5
куйды,куjды,CVS-CV,2,5
бу,бу,CV,1,2
калфак,калфак,CVS-CVC,2,6
ефәк,jефәк,SV-CVC,2,5
