original,phonetic,syllables,syl_number,word_len
алар,алар,V-SVS,2,4
кукмара,кукмара,CVC-SV-SV,3,7
поездында,поjыздында,CV-SVC-CVS-CV,4,10
очраштылар,очраштылар,VC-SVC-CV-SVS,4,10
көтмәгәндә,көтмәгәндә,CVC-SV-CVS-CV,4,10
һәм,һәм,CVS,1,3
бик,бик,CVC,1,3
сәер,сәер,CV-VS,2,4
булды,булды,CVS-CV,2,5
бу,бу,CV,1,2
очрашу,очрашу,VC-SV-CV,3,6
кайсыдыр,каjсыдыр,CVS-CV-CVS,3,8
тукталышта,тукталышта,CVC-CV-SVC-CV,4,10
вагонга,вагонга,CV-CVS-CV,3,7
шаулап,шаwлап,CVS-SVC,2,6
бер,бер,CVS,1,3
төркем,төркем,CVS-CVS,2,6
милиция,милициjә,SV-SV-CV-SV,4,8
кешесе,кешесе,CV-CV-CV,3,6
килеп,килеп,CV-SVC,2,5
керде,керде,CVS-CV,2,5
берничәсе,берничәсе,CVS-SV-CV-CV,4,9
автомат,автомат,VC-CV-SVC,3,7
тоткан,тоткан,CVC-CVS,2,6
йөзләре,jөзләре,SVC-SV-SV,3,7
җитди,җитди,CVC-CV,2,5
һәр,һәр,CVS,1,3
кешене,кешене,CV-CV-SV,3,6
берәмтекләп,берәмтекләп,CV-SVS-CVC-SVC,4,11
җентекләп,җентекләп,CVS-CVC-SVC,3,9
карап,карап,CV-SVC,2,5
баралар,баралар,CV-SV-SVS,3,7
алар,алар,V-SVS,2,4
чыгып,чыгып,CV-CVC,2,5
китүгә,китүгә,CV-CV-CV,3,6
вагон,вагон,CV-CVS,2,5
эчендә,эчендә,V-CVS-CV,3,6
берәү,берәw,CV-SVS,2,5
төрмәдән,төрмәдән,CVS-SV-CVS,3,8
качкан,качкан,CVC-CVS,2,6
шуны,шуны,CV-SV,2,4
эзлиләр,эзлиләр,VC-SV-SVS,3,7
дигән,дигән,CV-CVS,2,5
сүз,сүз,CVC,1,3
таралды,таралды,CV-SVS-CV,3,7
сәлимәнең,сәлимәнең,CV-SV-SV-SVS,4,9
урыны,урыны,V-SV-SV,3,5
тәрәзә,тәрәзә,CV-SV-CV,3,6
янында,jанында,SV-SVS-CV,3,7
иде,иде,V-CV,2,3
ул,ул,VS,1,2
утыргычның,утыргычның,V-CVS-CVC-SVS,4,10
урта,урта,VS-CV,2,4
турынарак,турынарак,CV-SV-SV-SVC,4,9
янәшәсендә,jәнәшәсендә,SV-SV-CV-CVS-CV,5,11
оеп,оjып,V-SVC,2,4
утырган,утырган,V-CVS-CVS,3,7
татар,татар,CV-CVS,2,5
апасына,апасына,V-CV-CV-SV,4,7
табарак,табарак,CV-CV-SVC,3,7
күчте,күчте,CVC-CV,2,5
әйтерсең,әjтерсең,VS-CVS-CVS,3,8
теге,теге,CV-CV,2,4
качкын,качкын,CVC-CVS,2,6
бәндә,бәндә,CVS-CV,2,5
менә,менә,SV-SV,2,4
хәзер,хәзер,CV-CVS,2,5
тәрәзәдән,тәрәзәдән,CV-SV-CV-CVS,4,9
килеп,килеп,CV-SVC,2,5
керәчәк,керәчәк,CV-SV-CVC,3,7
тәрәзәдән,тәрәзәдән,CV-SV-CV-CVS,4,9
кермәде,кермәде,CVS-SV-CV,3,7
шул,шул,CVS,1,3
ишектән,ишектән,V-CVC-CVS,3,7
керде,керде,CVS-CV,2,5
керде,керде,CVS-CV,2,5
дә,дә,CV,1,2
вагон,вагон,CV-CVS,2,5
уртасынарак,уртасынарак,VS-CV-CV-SV-SVC,5,11
үтеп,үтеп,V-CVC,2,4
сәлимәләр,сәлимәләр,CV-SV-SV-SVS,4,9
эскәмиясендәге,эскәмиjәсендәге,VC-CV-SV-SV-CVS-CV-CV,7,15
буш,буш,CVC,1,3
урынга,урынга,V-SVS-CV,3,6
килеп,килеп,CV-SVC,2,5
тә,тә,CV,1,2
утырды,утырды,V-CVS-CV,3,6
әлбәттә,әлбәттә,VS-CVC-CV,3,7
инде,инде,VS-CV,2,4
сәлимә,сәлимә,CV-SV-SV,3,6
аның,аның,V-SVS,2,4
качкын,качкын,CVC-CVS,2,6
икәнлеген,икәнлеген,V-CVS-SV-CVS,4,9
белмәде,белмәде,CVS-SV-CV,3,7
сәләмә,сәләмә,CV-SV-SV,3,6
генә,генә,CV-SV,2,4
киенгән,киjенгән,CV-SVS-CVS,3,8
бүреген,бүреген,CV-SV-CVS,3,7
күзләренә,күзләренә,CVC-SV-SV-SV,4,9
үк,үк,VC,1,2
төшереп,төшереп,CV-CV-SVC,3,7
кигән,кигән,CV-CVS,2,5
бу,бу,CV,1,2
егеттән,jегеттән,SV-CVC-CVS,3,8
сәерсенде,сәерсенде,CV-VS-CVS-CV,4,9
сәерсенүен,сәерсенүен,CV-VS-CV-SV-VS,5,10
әмма,әмма,VS-SV,2,4
ул,ул,VS,1,2
кадәр,кадәр,CV-CVS,2,5
шикләнмәде,шикләнмәде,CVC-SVS-SV-CV,4,10
тегесе,тегесе,CV-CV-CV,3,6
килеп,килеп,CV-SVC,2,5
утыру,утыру,V-CV-SV,3,5
белән,белән,CV-SVS,2,5
тәрәзә,тәрәзә,CV-SV-CV,3,6
янына,jанына,SV-SV-SV,3,6
борылып,борылып,CV-SV-SVC,3,7
буй,буj,CVS,1,3
буй,буj,CVS,1,3
кар,кар,CVS,1,3
яткан,jаткан,SVC-CVS,2,6
көзге,көзге,CVC-CV,2,5
кырларга,кырларга,CVS-SVS-CV,3,8
карап,карап,CV-SVC,2,5
бара,бара,CV-SV,2,4
башлады,башлады,CVC-SV-CV,3,7
сәлимәнең,сәлимәнең,CV-SV-SV-SVS,4,9
дә,дә,CV,1,2
үз,үз,VC,1,2
гаме,гаме,CV-SV,2,4
үз,үз,VC,1,2
уйлары,уjлары,VS-SV-SV,3,6
менә,менә,SV-SV,2,4
өч,өч,VC,1,2
ел,jыл,SVS,1,3
инде,инде,VS-CV,2,4
казанда,казанда,CV-CVS-CV,3,7
яши,jәши,SV-CV,2,4
ул,ул,VS,1,2
эшли,эшли,VC-SV,2,4
атна,атна,VC-SV,2,4
саен,саjын,CV-SVS,2,5
авылына,аwылына,V-SV-SV-SV,4,7
кайтып,каjтып,CVS-CVC,2,6
йөри,jөри,SV-SV,2,4
бик,бик,CVC,1,3
сагына,сагына,CV-CV-SV,3,6
сәлимә,сәлимә,CV-SV-SV,3,6
үз,үз,VC,1,2
авылларын,аwылларын,V-SVS-SV-SVS,4,9
бөтен,бөтен,CV-CVS,2,5
җаны,җаны,CV-SV,2,4
тәне,тәне,CV-SV,2,4
белән,белән,CV-SVS,2,5
күңеле,күңеле,CV-SV-SV,3,6
белән,белән,CV-SVS,2,5
яшәеше,jәшәеше,SV-CV-V-CV,4,7
һәм,һәм,CVS,1,3
язмышы,jазмышы,SVC-SV-CV,3,7
белән,белән,CV-SVS,2,5
авыл,аwыл,V-SVS,2,4
кызы,кызы,CV-CV,2,4
ул,ул,VS,1,2
шәһәргә,шәһәргә,CV-CVS-CV,3,7
чыгып,чыгып,CV-CVC,2,5
китүе,китүе,CV-CV-V,3,5
дә,дә,CV,1,2
сәер,сәер,CV-VS,2,4
булды,булды,CVS-CV,2,5
мәңге,мәңге,SVS-CV,2,5
китмәс,китмәс,CVC-SVC,2,6
иде,иде,V-CV,2,3
билләһи,билләһи,CVS-SV-CV,3,7
бердәнбер,бердәнбер,CVS-CVS-CVS,3,9
көнне,көнне,CVS-SV,2,5
аны,аны,V-SV,2,3
әнисе,әнисе,V-SV-CV,3,5
белән,белән,CV-SVS,2,5
әбисе,әбисе,V-CV-CV,3,5
илсур,илсур,VS-CVS,2,5
исемле,исемле,V-CVS-SV,3,6
авыл,аwыл,V-SVS,2,4
егетенә,jегетенә,SV-CV-CV-SV,4,8
димләп,димләп,CVS-SVC,2,6
ярәштереп,jәрәштереп,SV-SVC-CV-SVC,4,10
куйдылар,куjдылар,CVS-CV-SVS,3,8
нәселе,нәселе,SV-CV-SV,3,6
яхшы,jахшы,SVC-CV,2,5
тормышы,тормышы,CVS-SV-CV,3,7
нык,нык,SVC,1,3
тәртибе,тәртибе,CVS-CV-CV,3,7
әйбәт,әjбәт,VS-CVC,2,5
диделәр,диделәр,CV-CV-SVS,3,7
ә,ә,V,1,1
бит,бит,CVC,1,3
сәлимәнең,сәлимәнең,CV-SV-SV-SVS,4,9
үз,үз,VC,1,2
егете,jегете,SV-CV-CV,3,6
бар,бар,CVS,1,3
наил,наил,SV-VS,2,4
балта,балта,CVS-CV,2,5
остасы,остасы,VC-CV-CV,3,6
күрше,күрше,CVS-CV,2,5
авылларда,аwылларда,V-SVS-SVS-CV,4,9
өй,өj,VS,1,2
салып,салып,CV-SVC,2,5
йөри,jөри,SV-SV,2,4
ярлы,jарлы,SVS-SV,2,5
да,да,CV,1,2
түгел,түгел,CV-CVS,2,5
гарип,гарип,CV-SVC,2,5
гораба,гораба,CV-SV-CV,3,6
да,да,CV,1,2
түгел,түгел,CV-CVS,2,5
ихлас,ихлас,VC-SVC,2,5
күңелчән,күңелчән,CV-SVS-CVS,3,8
тик,тик,CVC,1,3
сәлимәнең,сәлимәнең,CV-SV-SV-SVS,4,9
әниләре,әниләре,V-SV-SV-SV,4,7
аны,аны,V-SV,2,3
яратмадылар,jаратмадылар,SV-SVC-SV-CV-SVS,5,12
шабашниктан,шабашниктан,CV-CVC-SVC-CVS,4,11
нинди,нинди,SVS-CV,2,5
рәт,рәт,SVC,1,3
чыксын,чыксын,CVC-CVS,2,6
диделәр,диделәр,CV-CV-SVS,3,7
шигырь,шигыр,CV-CVS,2,5
чыгарып,чыгарып,CV-CV-SVC,3,7
җырлап,җырлап,CVS-SVC,2,6
гармунда,гармунда,CVS-SVS-CV,3,8
уйнап,уjнап,VS-SVC,2,5
йөргән,jөргән,SVS-CVS,2,6
була,була,CV-SV,2,4
җиңел,җиңел,CV-SVS,2,5
акыллыланып,акыллыланып,V-CVS-SV-SV-SVC,5,11
диделәр,диделәр,CV-CV-SVS,3,7
эчкән,эчкән,VC-CVS,2,5
чагын,чагын,CV-CVS,2,5
да,да,CV,1,2
күргәннәр,күргәннәр,CVS-CVS-SVS,3,9
ләкин,ләкин,SV-CVS,2,5
сәлимә,сәлимә,CV-SV-SV,3,6
наилнең,наилнең,SV-VS-SVS,3,7
нинди,нинди,SVS-CV,2,5
икәнен,икәнен,V-CV-SVS,3,6
бик,бик,CVC,1,3
яхшы,jахшы,SVC-CV,2,5
белә,белә,CV-SV,2,4
хыялыйрак,хыjалыjрак,CV-SV-SVS-SVC,4,10
булса,булса,CVS-CV,2,5
да,да,CV,1,2
төпле,төпле,CVC-SV,2,5
егет,jегет,SV-CVC,2,5
ул,ул,VS,1,2
итәгатьле,итәгатле,V-CV-CVC-SV,4,8
игелекле,игелекле,V-CV-SVC-SV,4,8
җан,җан,CVS,1,3
тугры,тугры,CVC-SV,2,5
ә,ә,V,1,1
сәлимә,сәлимә,CV-SV-SV,3,6
өчен,өчен,V-CVS,2,4
бу,бу,CV,1,2
иң,иң,VS,1,2
мөһиме,мөһиме,SV-CV-SV,3,6
тугрылык,тугрылык,CVC-SV-SVC,3,8
ахры,ахры,VC-SV,2,4
чиктә,чиктә,CVC-CV,2,5
кеше,кеше,CV-CV,2,4
шушы,шушы,CV-CV,2,4
сыйфатына,сыjфатына,CVS-CV-CV-SV,4,9
карап,карап,CV-SVC,2,5
бәяләнә,бәjәләнә,CV-SV-SV-SV,4,8
бит,бит,CVC,1,3
их,их,VC,1,2
бергә,бергә,CVS-CV,2,5
яшәргә,jәшәргә,SV-CVS-CV,3,7
насыйп,насыjп,SV-CVSC,2,6
булмады,булмады,CVS-SV-CV,3,7
шул,шул,CVS,1,3
әле,әле,V-SV,2,3
дә,дә,CV,1,2
хәтерендә,хәтерендә,CV-CV-SVS-CV,4,9
илсурдан,илсурдан,VS-CVS-CVS,3,8
яучылар,jаwчылар,SVS-CV-SVS,3,8
килә,килә,CV-SV,2,4
башлады,башлады,CVC-SV-CV,3,7
булачак,булачак,CV-SV-CVC,3,7
кода,кода,CV-CV,2,4
кодагыйлар,кодагыjлар,CV-CV-CVS-SVS,4,10
кунак,кунак,CV-SVC,2,5
ашлары,ашлары,VC-SV-SV,3,6
белән,белән,CV-SVS,2,5
дә,дә,CV,1,2
алмаштылар,алмаштылар,VS-SVC-CV-SVS,4,10
сәлимәдән,сәлимәдән,CV-SV-SV-CVS,4,9
генә,генә,CV-SV,2,4
сораган,сораган,CV-SV-CVS,3,7
