original,phonetic,syllables,syl_number,word_len
нәкъ,нәк,SVC,1,3
казан,казан,CV-CVS,2,5
артында,артында,VS-CVS-CV,3,7
бардыр,бардыр,CVS-CVS,2,6
бер,бер,CVS,1,3
авыл,аwыл,V-SVS,2,4
кырлай,кырлаj,CVS-SVS,2,6
диләр,диләр,CV-SVS,2,5
җырлаганда,җырлаганда,CVS-SV-CVS-CV,4,10
көй,көj,CVS,1,3
өчен,өчен,V-CVS,2,4
тавыклары,таwыклары,CV-SVC-SV-SV,4,9
җырлай,җырлаj,CVS-SVS,2,6
диләр,диләр,CV-SVS,2,5
гәрчә,гәрчә,CVS-CV,2,5
анда,анда,VS-CV,2,4
тугъмасам,тугмасам,CVC-SV-CVS,3,8
да,да,CV,1,2
мин,мин,SVS,1,3
бераз,бераз,CV-SVC,2,5
торган,торган,CVS-CVS,2,6
идем,идем,V-CVS,2,4
җирне,җирне,CVS-SV,2,5
әз,әз,VC,1,2
мәз,мәз,SVC,1,3
тырмалап,тырмалап,CVS-SV-SVC,3,8
чәчкән,чәчкән,CVC-CVS,2,6
идем,идем,V-CVS,2,4
урган,урган,VS-CVS,2,5
идем,идем,V-CVS,2,4
ул,ул,VS,1,2
авылның,аwылның,V-SVS-SVS,3,7
һич,һич,CVC,1,3
онытмыйм,онытмыjм,V-SVC-SVSS,3,8
һәрьягы,һәрjагы,CVS-SV-CV,3,7
урман,урман,VS-SVS,2,5
иде,иде,V-CV,2,3
ул,ул,VS,1,2
болын,болын,CV-SVS,2,5
яшел,jәшел,SV-CVS,2,5
үләннәр,үләннәр,V-SVS-SVS,3,7
хәтфәдән,хәтфәдән,CVC-CV-CVS,3,8
юрган,jурган,SVS-CVS,2,6
иде,иде,V-CV,2,3
зурмы,зурмы,CVS-SV,2,5
дисәң,дисәң,CV-CVS,2,5
зур,зур,CVS,1,3
түгелдер,түгелдер,CV-CVS-CVS,3,8
бу,бу,CV,1,2
авыл,аwыл,V-SVS,2,4
бик,бик,CVC,1,3
кечкенә,кечкенә,CVC-CV-SV,3,7
халкының,халкының,CVS-CV-SVS,3,8
эчкән,эчкән,VC-CVS,2,5
суы,суы,CV-V,2,3
бик,бик,CVC,1,3
кечкенә,кечкенә,CVC-CV-SV,3,7
инеш,инеш,V-SVC,2,4
кенә,кенә,CV-SV,2,4
анда,анда,VS-CV,2,4
бик,бик,CVC,1,3
салкын,салкын,CVS-CVS,2,6
вә,wә,SV,1,2
бик,бик,CVC,1,3
эссе,эссе,VC-CV,2,4
түгел,түгел,CV-CVS,2,5
урта,урта,VS-CV,2,4
һава,һаwа,CV-SV,2,4
җил,җил,CVS,1,3
дә,дә,CV,1,2
вактында,wактында,SVC-CVS-CV,3,8
исеп,исеп,V-CVC,2,4
яңгыр,jаңгыр,SVS-CVS,2,6
да,да,CV,1,2
вактында,wактында,SVC-CVS-CV,3,8
ява,jаwа,SV-SV,2,4
урманында,урманында,VS-SV-SVS-CV,4,9
кып,кып,CVC,1,3
кызыл,кызыл,CV-CVS,2,5
кура,кура,CV-SV,2,4
җиләк,җиләк,CV-SVC,2,5
тә,тә,CV,1,2
җир,җир,CVS,1,3
җиләк,җиләк,CV-SVC,2,5
күз,күз,CVC,1,3
ачып,ачып,V-CVC,2,4
йомганчы,jомганчы,SVS-CVS-CV,3,8
һичшиксез,һичшиксез,CVC-CVC-CVC,3,9
җыярсың,җыjарсың,CV-SVS-CVS,3,8
бер,бер,CVS,1,3
чиләк,чиләк,CV-SVC,2,5
бик,бик,CVC,1,3
хозур,хозур,CV-CVS,2,5
рәт,рәт,SVC,1,3
рәт,рәт,SVC,1,3
тора,тора,CV-SV,2,4
гаскәр,гаскәр,CVC-CVS,2,6
кеби,кеби,CV-CV,2,4
чыршы,чыршы,CVS-CV,2,5
нарат,нарат,SV-SVC,2,5
төпләрендә,төпләрендә,CVC-SV-SVS-CV,4,10
ятканым,jатканым,SVC-CV-SVS,3,8
бар,бар,CVS,1,3
хәл,хәл,CVS,1,3
җыеп,җыjып,CV-SVC,2,5
күккә,күккә,CVC-CV,2,5
карап,карап,CV-SVC,2,5
юкә,jүкә,SV-CV,2,4
