original,phonetic,syllables,syl_number,word_len
йомшак,jомшак,SVS-CVC,2,6
кына,кына,CV-SV,2,4
җәйге,җәjге,CVS-CV,2,5
җил,җил,CVS,1,3
исә,исә,V-CV,2,3
дала,дала,CV-SV,2,4
буйлап,буjлап,CVS-SVC,2,6
кылганнар,кылганнар,CVS-CVS-SVS,3,9
йөгерә,jөгерә,SV-CV-SV,3,6
кылганнар,кылганнар,CVS-CVS-SVS,3,9
йөгерә,jөгерә,SV-CV-SV,3,6
ефәк,jефәк,SV-CVC,2,5
чукларын,чукларын,CVC-SV-SVS,3,8
еш,jыш,SVC,1,3
еш,jыш,SVC,1,3
кына,кына,CV-SV,2,4
селкеп,селкеп,CVS-CVC,2,6
акрын,акрын,VC-SVS,2,5
гына,гына,CV-SV,2,4
кыштырдап,кыштырдап,CVC-CVS-CVC,3,9
бик,бик,CVC,1,3
тырышып,тырышып,CV-SV-CVC,3,7
һәм,һәм,CVS,1,3
бик,бик,CVC,1,3
кабаланып,кабаланып,CV-CV-SV-SVC,4,9
йөгерә,jөгерә,SV-CV-SV,3,6
кебек,кебек,CV-CVC,2,5
алар,алар,V-SVS,2,4
колын,колын,CV-SVS,2,5
булып,булып,CV-SVC,2,5
уйнаклап,уjнаклап,VS-SVC-SVC,3,8
шул,шул,CVS,1,3
кылганнар,кылганнар,CVS-CVS-SVS,3,9
артыннан,артыннан,VS-CVS-SVS,3,8
чабасы,чабасы,CV-CV-CV,3,6
да,да,CV,1,2
чабасы,чабасы,CV-CV-CV,3,6
килә,килә,CV-SV,2,4
дала,дала,CV-SV,2,4
буш,буш,CVC,1,3
дала,дала,CV-SV,2,4
киң,киң,CVS,1,3
җир,җир,CVS,1,3
җылыкай,җылыкаj,CV-SV-CVS,3,7
шаян,шаjан,CV-SVS,2,5
җилкәй,җилкәj,CVS-CVS,2,6
биттән,биттән,CVC-CVS,2,6
сөя,сөjә,CV-SV,2,4
рәхәт,рәхәт,SV-CVC,2,5
һәй,һәj,CVS,1,3
рәхәт,рәхәт,SV-CVC,2,5
тә,тә,CV,1,2
соң,соң,CVS,1,3
һәм,һәм,CVS,1,3
ямансу,jамансу,SV-SVS-CV,3,7
нигәдер,нигәдер,SV-CV-CVS,3,7
бик,бик,CVC,1,3
ямансу,jамансу,SV-SVS-CV,3,7
да,да,CV,1,2
шул,шул,CVS,1,3
шагыйрь,шагыjр,CV-CVSS,2,6
әйтмешли,әjтмешли,VSC-SVC-SV,3,8
йөгереп,jөгереп,SV-CV-SVC,3,7
уйныйсы,уjныjсы,VS-SVS-CV,3,7
ятып,jатып,SV-CVC,2,5
елыйсы,jылыjсы,SV-SVS-CV,3,7
килә,килә,CV-SV,2,4
бу,бу,CV,1,2
тын,тын,CVS,1,3
буш,буш,CVC,1,3
моңсу,моңсу,SVS-CV,2,5
башкорт,башкорт,CVC-CVSC,2,7
даласында,даласында,CV-SV-CVS-CV,4,9
әнә,әнә,V-SV,2,3
көмешләнеп,көмешләнеп,CV-SVC-SV-SVC,4,10
дулкынланган,дулкынланган,CVS-CVS-SVS-CVS,4,12
кылганнар,кылганнар,CVS-CVS-SVS,3,9
арасында,арасында,V-SV-CVS-CV,4,8
ак,ак,VC,1,2
яулык,jаwлык,SVS-SVC,2,6
бөркәнгән,бөркәнгән,CVS-CVS-CVS,3,9
алъяпкыч,алjапкыч,VS-SVC-CVC,3,8
бәйләгән,бәjләгән,CVS-SV-CVS,3,8
күлмәген,күлмәген,CVS-SV-CVS,3,8
ыштан,ыштан,VC-CVS,2,5
бөрмәсенә,бөрмәсенә,CVS-SV-CV-SV,4,9
кыстырган,кыстырган,CVC-CVS-CVS,3,9
кечкенә,кечкенә,CVC-CV-SV,3,7
буйлы,буjлы,CVS-SV,2,5
арык,арык,V-SVC,2,4
кына,кына,CV-SV,2,4
бер,бер,CVS,1,3
әби,әби,V-CV,2,3
кизәк,кизәк,CV-CVC,2,5
җыеп,җыjып,CV-SVC,2,5
йөри,jөри,SV-SV,2,4
сул,сул,CVS,1,3
беләгендә,беләгендә,CV-SV-CVS-CV,4,9
аның,аның,V-SVS,2,4
иске,иске,VC-CV,2,4
чиләк,чиләк,CV-SVC,2,5
уң,уң,VS,1,2
кулында,кулында,CV-SVS-CV,3,7
нечкә,нечкә,SVC-CV,2,5
таяк,таjак,CV-SVC,2,5
шул,шул,CVS,1,3
таягы,таjагы,CV-SV-CV,3,6
белән,белән,CV-SVS,2,5
ул,ул,VS,1,2
кизәкне,кизәкне,CV-CVC-SV,3,7
чирәмнән,чирәмнән,CV-SVS-SVS,3,8
куптарып,куптарып,CVC-CV-SVC,3,8
әйләндерә,әjләндерә,VS-SVS-CV-SV,4,9
дә,дә,CV,1,2
аннары,аннары,VS-SV-SV,3,6
иелеп,иjелеп,V-SV-SVC,3,6
алып,алып,V-SVC,2,4
чиләгенә,чиләгенә,CV-SV-CV-SV,4,8
сала,сала,CV-SV,2,4
тагын,тагын,CV-CVS,2,5
як,jак,SVC,1,3
ягына,jагына,SV-CV-SV,3,6
каранып,каранып,CV-SV-SVC,3,7
эзләп,эзләп,VC-SVC,2,5
китә,китә,CV-CV,2,4
тагын,тагын,CV-CVS,2,5
кизәкне,кизәкне,CV-CVC-SV,3,7
чирәмнән,чирәмнән,CV-SVS-SVS,3,8
куптарып,куптарып,CVC-CV-SVC,3,8
чиләгенә,чиләгенә,CV-SV-CV-SV,4,8
алып,алып,V-SVC,2,4
сала,сала,CV-SV,2,4
шулай,шулаj,CV-SVS,2,5
да,да,CV,1,2
бу,бу,CV,1,2
авыл,аwыл,V-SVS,2,4
кырындагы,кырындагы,CV-SVS-CV-CV,4,9
чирәмлектә,чирәмлектә,CV-SVS-SVC-CV,4,10
хәзер,хәзер,CV-CVS,2,5
кизәк,кизәк,CV-CVC,2,5
аз,аз,VC,1,2
табыла,табыла,CV-CV-SV,3,6
колхоз,колхоз,CVS-CVC,2,6
терлекләре,терлекләре,CVS-SVC-SV-SV,4,10
монда,монда,SVS-CV,2,5
йөрмиләр,jөрмиләр,SVS-SV-SVS,3,8
ә,ә,V,1,1
бәләкәй,бәләкәj,CV-SV-CVS,3,7
генә,генә,CV-SV,2,4
авылның,аwылның,V-SVS-SVS,3,7
үз,үз,VC,1,2
бозаулары,бозаwлары,CV-CVS-SV-SV,4,9
салып,салып,CV-SVC,2,5
калдырган,калдырган,CVS-CVS-CVS,3,9
беленнәр,беленнәр,CV-SVS-SVS,3,8
күпме,күпме,CVC-SV,2,5
генә,генә,CV-SV,2,4
соң,соң,CVS,1,3
ул,ул,VS,1,2
далада,далада,CV-SV-CV,3,6
утын,утын,V-CVS,2,4
дигән,дигән,CV-CVS,2,5
нәрсә,нәрсә,SVS-CV,2,5
бик,бик,CVC,1,3
кадерле,кадерле,CV-CVS-SV,3,7
булгач,булгач,CVS-CVC,2,6
ялгыз,jалгыз,SVS-CVC,2,6
әби,әби,V-CV,2,3
ике,ике,V-CV,2,3
өч,өч,VC,1,2
көндә,көндә,CVS-CV,2,5
бер,бер,CVS,1,3
чыгып,чыгып,CV-CVC,2,5
иске,иске,VC-CV,2,4
чиләге,чиләге,CV-SV-CV,3,6
тулар,тулар,CV-SVS,2,5
тулмас,тулмас,CVS-SVC,2,6
шул,шул,CVS,1,3
беленнәрне,беленнәрне,CV-SVS-SVS-SV,4,10
җыеп,җыjып,CV-SVC,2,5
кайта,каjта,CVS-CV,2,5
борыннан,борыннан,CV-SVS-SVS,3,8
килгән,килгән,CVS-CVS,2,6
бер,бер,CVS,1,3
гадәт,гадәт,CV-CVC,2,5
аннары,аннары,VS-SV-SV,3,6
кизәк,кизәк,CV-CVC,2,5
казан,казан,CV-CVS,2,5
астына,астына,VC-CV-SV,3,6
бик,бик,CVC,1,3
килешә,килешә,CV-SV-CV,3,6
ашны,ашны,VC-SV,2,4
әкрен,әкрен,VC-SVS,2,5
генә,генә,CV-SV,2,4
кайната,каjната,CVS-SV-CV,3,7
ә,ә,V,1,1
үз,үз,VC,1,2
җае,җаjы,CV-SV,2,4
белән,белән,CV-SVS,2,5
әкрен,әкрен,VC-SVS,2,5
генә,генә,CV-SV,2,4
кайнап,каjнап,CVS-SVC,2,6
пешкән,пешкән,CVC-CVS,2,6
аш,аш,VC,1,2
бик,бик,CVC,1,3
тәмле,тәмле,CVS-SV,2,5
була,була,CV-SV,2,4
ул,ул,VS,1,2
әйтерсең,әjтерсең,VS-CVS-CVS,3,8
чирәм,чирәм,CV-SVS,2,5
исе,исе,V-CV,2,3
керә,керә,CV-SV,2,4
ашка,ашка,VC-CV,2,4
тик,тик,CVC,1,3
соңгы,соңгы,CVS-CV,2,5
вакытта,wакытта,SV-CVC-CV,3,7
әбинең,әбинең,V-CV-SVS,3,6
хәле,хәле,CV-SV,2,4
бик,бик,CVC,1,3
үк,үк,VC,1,2
әйбәт,әjбәт,VS-CVC,2,5
түгел,түгел,CV-CVS,2,5
әле,әле,V-SV,2,3
картлыгы,картлыгы,CVSC-SV-CV,3,8
җиткәнме,җиткәнме,CVC-CVS-SV,3,8
берәр,берәр,CV-SVS,2,5
чир,чир,CVS,1,3
зәхмәтеме,зәхмәтеме,CVC-SV-CV-SV,4,9
шунда,шунда,CVS-CV,2,5
ләкин,ләкин,SV-CVS,2,5
гел,гел,CVS,1,3
менә,менә,SV-SV,2,4
бөтен,бөтен,CV-CVS,2,5
тәне,тәне,CV-SV,2,4
авыраеп,аwыраjып,V-SV-SV-SVC,4,8
кул,кул,CVS,1,3
аяклары,аjаклары,V-SVC-SV-SV,4,8
сызлап,сызлап,CVC-SVC,2,6
йөрәгенең,jөрәгенең,SV-SV-CV-SVS,4,9
хәле,хәле,CV-SV,2,4
китеп,китеп,CV-CVC,2,5
тора,тора,CV-SV,2,4
ара,ара,V-SV,2,3
тирә,тирә,CV-SV,2,4
өшетеп,өшетеп,V-CV-CVC,3,6
тә,тә,CV,1,2
җибәрә,җибәрә,CV-CV-SV,3,6
яки,jәки,SV-CV,2,4
тиктомалга,тиктомалга,CVC-CV-SVS-CV,4,10
яндыра,jандыра,SVS-CV-SV,3,7
да,да,CV,1,2
башлый,башлыj,CVC-SVS,2,6
үзенчә,үзенчә,V-CVS-CV,3,6
мәтрүшкәсен,мәтрүшкәсен,SVC-SVC-CV-CVS,4,11
ниен,ниjен,SV-SVS,2,5
эчкәләп,эчкәләп,VC-CV-SVC,3,7
ятып,jатып,SV-CVC,2,5
караса,караса,CV-SV-CV,3,6
да,да,CV,1,2
бер,бер,CVS,1,3
дә,дә,CV,1,2
юнәеп,jүнәеп,SV-SV-VC,3,6
китә,китә,CV-CV,2,4
алмый,алмыj,VS-SVS,2,5
менә,менә,SV-SV,2,4
бүген,бүген,CV-CVS,2,5
дә,дә,CV,1,2
кояш,коjаш,CV-SVC,2,5
шактый,шактыj,CVC-CVS,2,6
нык,нык,SVC,1,3
